id,title,genre_ids,language,release_date,backdrop_path,poster_path
0,Mercy,"[878, 28, 53]",en,2026-01-20,/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,/pyok1kZJCfyuFapYXzHcy7BLlQa.jpg
1,28 Years Later: The Bone Temple,"[27, 53, 878]",en,2026-01-14,/hHDNOlATHhre4eZ7aYz5cdyJLik.jpg,/kK1BGkG3KAvWB0WMV1DfOx9yTMZ.jpg
2,The Orphans,[28],fr,2025-08-20,/xzY15HIBMR1MPo9Me8OsaZShF9T.jpg,/hP7mjZr2SVfjAorlRHTdV1XZmHY.jpg
3,A Woman Scorned,[28],en,2025-06-09,/uzZ7LUx4Bb3nZXjvBx5PiqTE7rk.jpg,/dlOSBiNULMPzKIze84LDjvEN9z1.jpg
4,Deathstalker,"[14, 28, 12]",en,2025-10-10,/cugd16e3WbCG3Zogb8N7lwUnVXH.jpg,/nEI3DnzQC1afAjJOAizx6UX27pL.jpg
5,Greenland 2: Migration,"[12, 53, 878]",en,2026-01-07,/u9jE0R1nvkmdWu3bt7Op8joPywa.jpg,/z2tqCJLsw6uEJ8nJV8BsQXGa3dr.jpg
6,Your Heart Will Be Broken,"[10749, 18]",ru,2026-03-26,,/iGpMm603GUKH2SiXB2S5m4sZ17t.jpg
7,Space/Time,"[878, 28, 53]",en,2025-05-01,/w1Z1I9PqTK5UjG6RVAFXLCjp1Sw.jpg,/uje1ecKMnNpZp0at5TxlvVgVXqI.jpg
8,The Shadow's Edge,"[28, 80, 18, 53]",zh,2025-08-16,/zXINNssll2zsPGqd7F7Llrw7Uql.jpg,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg
9,Zootopia 2,"[16, 35, 12, 10751, 9648]",en,2025-11-26,/7nfpkR9XsQ1lBNCXSSHxGV7Dkxe.jpg,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
10,Cuerno Azulado,[28],es,2025-09-10,/4IEjHlV6ciUPopHnEs5AfBNJ6XS.jpg,/q0OveDlsh5BNq6ifZqNWKtLKiwb.jpg
11,Predator: Badlands,"[28, 878, 12]",en,2025-11-05,/82lM4GJ9uuNvNDOEpxFy77uv4Ak.jpg,/erTRAi241eYF4K8KoGGOI8kFPox.jpg
12,The Housemaid,"[18, 9648, 53]",en,2025-12-18,/tNONILTe9OJz574KZWaLze4v6RC.jpg,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg
