Movie_id,Popularity
940721,8.1718
162,10.2523
2109,8.8029
620,10.1318
79646,24.671
399402,8.8474
27578,10.4489
49444,8.9137
37135,9.3663
499546,7.3302
260513,9.9981
602,7.908
308624,8.1243
1241894,7.7508
1124619,8.8301
49530,8.8348
508943,10.6502
1084736,9.0593
140530,9.224
1701,7.7755
281338,9.0113
937941,7.5129
621,11.0601
454626,8.933
1813,10.3882
43949,7.157
818397,7.356
1368,10.0588
157350,7.6328
10591,9.4336
770,8.6807
348893,9.3228
149,8.4854
398978,9.3237
1588846,9.7358
530915,9.3552
141,8.6055
359724,8.925
1420733,8.6296
1305717,6.7547
2322,7.3008
115,9.1537
1083433,8.591
59967,7.5527
320288,7.1848
343668,9.2091
47971,10.1812
1327881,6.434
166428,7.6833
60898,8.2199
713704,7.5249
979,8.3913
9659,9.3848
1280450,8.3248
1949,8.8947
49519,7.9226
1114967,8.693
398978,9.3237
140300,9.1597
983507,7.4086
8355,7.379
18239,9.2568
38700,8.4482
276126,7.8626
1072699,8.0938
4922,9.7888
157350,7.6328
1233506,8.5997
438148,8.628
11224,7.7852
338803,7.6569
34851,9.2385
348893,9.3228
27,8.4997
1136867,9.7806
423108,7.587
1394098,7.6834
510,9.1388
787,9.2959
82690,9.6167
270303,7.2248
402900,6.4252
1268127,7.0661
1305717,6.7547
1927,8.6329
72105,9.7679
336843,7.2847
974663,7.5976
668489,9.4392
974576,10.4349
479718,7.396
315837,9.4869
537915,8.6248
1366745,6.5176
2322,7.3008
37799,8.4738
9378,6.0218
1394098,7.6834
532794,7.8621
337339,8.374
1892,7.6671
312221,8.853
1296504,7.2885
497582,7.5816
1205515,8.8237
124905,8.8253
1374686,7.3463
251,7.1976
346,9.0213
524,8.9336
776503,9.0289
176,8.8385
9378,6.0218
79871,8.9014
438695,7.0473
93456,8.6517
512200,7.843
2493,8.324
585511,9.7125
2280,8.1846
177677,9.3379
627,7.9376
648457,7.6863
75612,8.4038
315837,9.4869
484641,9.2944
796,7.5864
1429605,6.3897
5548,6.8499
605,8.1067
74,8.8502
508943,10.6502
1949,8.8947
1180417,5.8448
4588,7.8699
408,7.899
35,8.2658
639720,9.9178
1114967,8.693
843527,9.179
194,6.8113
10315,6.8646
64690,8.3497
254,7.943
88,8.0496
11544,9.6909
1194963,6.3251
646380,8.0176
1208808,6.4639
329,8.4148
308266,7.5246
1090983,6.9557
169,7.9248
915935,6.5312
8835,8.5684
21484,6.5
19913,6.9253
567609,7.8597
1296504,7.2885
625976,6.2036
1433371,9.3313
1489187,6.7898
4011,7.1322
882569,8.3959
310131,8.0973
1160956,8.0281
399566,7.8506
1134754,10.2731
1295026,7.6222
1245993,6.9207
464052,9.9692
1891,9.5743
1326106,7.8311
23168,7.2048
571,6.4884
484641,9.2944
489179,3.8366
341174,8.2237
1305715,10.813
13475,8.3583
8363,7.7929
275,8.6528
718821,7.6659
270946,8.0326
1432046,6.5661
303857,7.248
268,7.9819
937287,9.4172
974663,7.5976
1895,7.983
36647,7.5748
1127110,7.6675
851644,8.0058
59967,7.5527
64682,8.1912
35,8.2658
10315,6.8646
1400224,7.0146
4977,6.7644
9603,7.9991
1522923,7.0947
2649,6.5367
616,7.8736
762975,8.6785
986206,6.5542
8920,7.537
56292,8.4283
13183,8.0398
13186,6.802
400535,9.1062
263132,7.6466
1306245,21.442
43949,7.157
1108427,7.1487
724890,6.394
532794,7.8621
1255674,6.1856
1301122,5.8838
1313003,6.9271
1250,8.3475
254,7.943
1771,6.9328
497582,7.5816
1290879,5.6447
38055,7.3808
1245993,6.9207
497582,7.5816
381284,9.074
624860,10.8288
1290879,5.6447
549509,7.6185
1140535,7.2076
1149504,6.659
38055,7.3808
10634,6.7818
335,8.9351
7512,8.0975
1370123,6.1506
1608982,7.0286
1933,6.7414
49797,6.6844
5175,8.1322
425909,6.4893
75780,7.6107
193551,7.1698
320288,7.1848
1042834,7.6773
1356039,8.5477
1005331,7.3964
879,6.7537
62211,7.132
631843,7.0845
8467,8.7316
1338799,7.5821
639720,9.9178
50014,8.2834
839033,8.67
1501204,7.7967
10527,8.0667
467244,5.8967
1340110,5.8005
75780,7.6107
363676,8.1923
22894,7.8445
10494,6.9753
38575,7.3832
666277,8.1491
792,8.0358
950,8.0665
1280282,8.4162
18823,8.167
205587,6.6414
198184,7.5827
1126166,8.2555
246403,8.2287
7555,8.6243
336843,7.2847
747,6.7528
867,7.7325
594,8.5708
341013,7.6384
1366745,6.5176
897160,7.6478
147441,8.2721
158015,6.773
9489,7.5304
2567,7.511
385141,7.2926
453,8.2687
1368337,8.6772
72976,6.6882
93685,7.8639
277217,6.4612
7299,6.6587
846422,6.641
4347,8.3526
1319895,6.3127
1892,7.6671
290859,6.3374
1954,6.8972
9453,7.9886
311324,9.071
531219,5.2659
1586,5.6961
381284,9.074
9453,7.9886
311324,9.071
531219,5.2659
1586,5.6961
381284,9.074
1147266,6.2347
60599,6.6342
818397,7.356
6114,6.2475
4638,6.3404
11635,8.1105
1262815,6.6608
1140535,7.2076
500916,6.8289
297222,6.4772
2034,7.5905
10764,5.7614
11860,6.3281
274855,7.6491
48138,9.101
70160,7.7471
95,7.7149
852370,7.1257
296,7.9119
882598,6.3372
829560,8.1894
