Movie_id,Vote_average,Vote_count
1236153,7.08,480
1272837,7.211,608
1244975,6.1,50
1301306,6.0,9
1523145,0.0,0
840464,6.526,504
1253000,6.29,50
1368166,7.243,1287
1419406,7.247,448
1084242,7.609,1837
434853,5.9,32
1634858,7.778,9
1168190,6.922,673
1242898,7.721,2136
1316092,6.5,363
83533,7.278,1815
755898,4.197,899
1205225,6.043,23
1088434,7.033,30
1428862,6.192,39
1110034,8.0,5
1297842,7.424,66
1311031,7.7,734
1317288,7.555,952
1601243,6.364,22
1317672,5.673,133
1171145,6.941,94
1146344,6.0,26
1600028,7.774,42
14831,6.8,342
1315303,6.644,389
1511417,6.0,31
1327688,7.7,24
1426964,5.191,47
1396980,7.2,9
1306368,7.062,1246
858024,7.73,725
1234731,5.805,663
1323625,4.5,20
83519,6.645,31
1584215,6.3,49
1310568,5.843,35
1242937,6.581,37
11393,6.896,644
1271895,5.856,59
27725,7.1,348
1052558,6.2,10
991494,6.7,211
14938,5.6,118
1167307,8.1,91
1522259,10.0,1
23949,6.855,239
1193128,6.375,8
425274,6.525,1092
1460448,5.1,5
1159559,6.1,8
1043197,6.6,179
103620,6.035,1003
42159,5.4,21
24428,7.95,36089
1199869,5.613,31
52657,5.6,85
258362,6.1,7
15260,7.676,54
1290821,7.2,70
1242501,6.433,134
1305781,7.933,15
1252037,7.08,351
803796,8.1,2422
157336,8.5,38953
1246049,7.1,881
1054867,7.412,2890
587370,5.0,5
7451,5.978,4795
21948,6.8,247
278,8.715,29796
1215185,7.198,194
947959,0.0,0
1198994,7.1,324
10929,6.133,356
1234821,6.305,3019
639988,7.575,727
1242015,6.5,42
1242937,6.581,37
1287141,6.1,85
1266990,6.433,15
11065,5.9,301
650524,6.1,14
1233413,7.489,3775
1223601,7.35,558
76600,7.598,13745
19995,7.6,33504
575265,7.189,2579
1215185,7.198,194
982843,5.986,601
1326878,5.75,32
1243460,5.6,44
10774,7.81,1959
1062722,7.666,2982
1084244,0.0,0
1084244,0.0,0
911430,7.768,3407
1340076,5.553,19
10929,6.133,356
1464374,6.404,26
254905,5.41,221
518495,6.1,89
1088434,7.033,30
496243,8.5,20183
461992,5.806,397
1268609,7.5,13
1362057,0.0,0
1528660,6.708,12
533533,6.5,1214
1196067,6.0,84
1440144,6.8,8
299536,8.234,31520
1061474,7.359,4372
1033462,6.302,91
550,8.438,31498
299536,8.234,31520
155,8.526,35224
982843,5.986,601
533533,6.5,1214
1326878,5.75,32
940100,4.5,7
27205,8.37,38737
346796,1.0,2
1327690,8.125,17
597,7.9,26824
1411707,0.0,0
1243460,5.6,44
776659,7.2,52
980477,8.11,594
1523846,0.0,0
81065,3.2,8
1196067,6.0,84
617126,6.97,3016
1010581,7.763,3998
4916,5.654,143
4300,6.878,45
461992,5.806,397
1258151,6.419,37
680493,5.092,179
1061474,7.359,4372
11065,5.9,301
1131759,6.819,69
1033462,6.302,91
13398,7.918,1471
1119449,7.2,26
70574,4.25,34
1340076,5.553,19
1208348,7.815,459
10529,6.452,1376
1409712,0.0,0
269149,7.759,17717
1087192,7.934,2621
1241742,4.333,6
49051,7.367,19333
1539104,5.704,81
1218925,8.34,724
1528660,6.708,12
1362057,0.0,0
24860,6.69,153
754561,1.0,2
1408208,6.335,200
12207,7.439,1052
1100988,6.612,2251
14874,6.197,117
1387382,7.086,139
166680,3.6,72
798645,6.793,1181
1214931,7.344,616
122,8.5,26074
1448560,6.229,120
680,8.486,29735
1506880,0.0,0
701387,7.345,1484
816317,0.0,0
603,8.238,27416
200331,5.636,11
1439112,6.8,107
1327819,0.0,0
12543,6.9,169
70136,6.0,61
634649,7.932,21598
1491902,6.7,69
950387,6.277,2800
533535,7.557,8293
275208,0.0,0
693134,8.13,7549
29942,5.9,17
1198984,6.191,110
1227128,6.43,43
541671,7.3,2352
31251,3.093,27
569094,8.3,8291
34098,5.708,178
1405769,6.0,2
872585,8.034,11386
21055,5.7,74
808,7.757,18426
1241470,6.013,186
671,7.899,29184
411,7.136,11335
1035259,6.4,1464
1317149,8.2,80
1038392,6.901,1658
1373198,4.4,35
1083637,7.067,60
862,7.971,19576
129,8.533,17989
1124566,7.553,596
287655,0.0,0
1116465,6.834,148
6163,4.971,17
845223,4.5,2
1022789,7.547,6475
361743,8.156,10612
1195518,6.391,160
1433680,6.533,46
55547,4.981,81
438631,7.778,14480
1137179,7.0,36
949709,6.2,36
1254754,5.4,10
62201,6.4,26
666433,4.95,10
13,8.462,29286
1147411,8.5,21
1412598,5.713,61
414419,8.0,1158
1534,5.666,760
524047,7.128,5096
1533549,0.0,0
240,8.571,13619
613110,0.0,0
11,8.201,21965
1302017,4.4,5
807,8.4,22659
475557,8.128,27337
1363123,6.525,502
122917,7.331,15119
346364,7.238,20101
1470086,6.0,5
552524,7.209,2034
21055,5.7,74
218,7.675,14309
369877,4.9,9
240,8.571,13619
1302017,4.4,5
22,7.82,21899
299534,8.236,27290
121,8.4,23476
1284120,7.323,943
1403735,5.2,6
1227128,6.43,43
372058,8.479,12308
1180831,6.516,413
385687,7.003,6208
564862,7.0,2
1252428,7.0,130
121,8.4,23476
552524,7.209,2034
557,7.321,20322
574475,7.067,2651
1197137,6.752,926
1601797,8.0,2
8587,8.252,19405
602783,10.0,1
1726,7.655,27777
299534,8.236,27290
950396,7.627,3457
1247002,6.386,57
1422096,6.7,524
1007734,6.983,1279
673,8.008,22862
502356,7.593,10289
1368835,0.0,0
115819,6.0,11
170,7.236,8255
1003596,0.0,0
696393,6.242,33
1097046,2.333,3
1422096,6.7,524
1197137,6.752,926
22,7.82,21899
105,8.324,21420
324857,8.393,16899
1220564,7.5,386
1195518,6.391,160
1280869,9.0,2
519182,6.994,3079
1242419,7.149,559
637649,7.586,5943
674,7.801,21880
939243,7.624,3146
346698,6.929,10796
967941,6.674,834
216015,5.873,12262
1022787,6.936,862
637649,7.586,5943
187282,3.0,1
302628,0.0,0
4232,7.427,7709
1078605,7.3,2945
218,7.675,14309
1242419,7.149,559
912649,6.664,4024
65955,1.0,4
216015,5.873,12262
1563506,6.0,15
324857,8.393,16899
391628,8.8,4
1403735,5.2,6
1470086,6.0,5
986056,7.292,3238
1280875,10.0,1
1101425,2.0,2
348,8.166,16044
335984,7.6,14813
497,8.504,18886
1254624,6.061,246
1284120,7.323,943
46853,5.1,84
354912,8.199,20683
467905,6.5,12
10138,6.85,22091
672,7.704,23282
519182,6.994,3079
1466115,8.271,85
1071585,7.258,1161
585,7.846,19499
1003596,0.0,0
1175942,7.692,672
1184918,8.312,5750
70089,7.378,45
1327862,6.87,303
1288072,5.474,135
863,7.605,14667
70981,6.591,13050
967941,6.674,834
106646,8.026,25533
23210,6.427,353
24,7.971,18600
402431,6.918,2876
1156594,7.373,612
99861,7.271,24139
1278101,7.867,49
269955,6.647,78
414906,7.656,11641
109445,7.248,17367
1575337,8.3,52
345,7.485,6857
2062,7.836,18209
1515615,7.7,13
14160,7.959,21356
1159831,0.0,0
1865,6.565,14768
564,6.962,9778
11566,6.647,815
1309012,5.9,89
675,7.672,20544
1206008,5.614,79
12445,8.081,21703
1086260,5.828,212
678806,0.0,0
1149167,6.572,104
1226863,0.0,0
10193,7.8,15487
26725,4.8,125
150540,7.909,23187
447365,7.926,8032
301528,7.467,10362
1241624,6.641,32
210577,7.888,19675
767,7.682,20516
11324,8.2,25456
297762,7.21,20718
12,7.817,20290
424,8.566,17142
49026,7.791,24020
98,8.222,20539
8966,6.282,14228
12444,7.736,20122
1007542,0.0,0
280,8.139,13971
603692,7.708,7708
73861,5.431,2175
1371185,7.436,163
329865,7.624,19011
286217,7.7,20858
244786,8.373,16331
957119,6.158,180
1212742,6.11,132
546554,7.841,13691
429617,7.396,16700
14836,7.9,8789
1592032,5.5,2
10681,8.107,19947
694,8.2,18642
111,8.2,12754
106,7.5,8869
156022,7.281,9758
801937,6.177,82
76341,7.629,23775
38757,7.609,12204
228150,7.541,12733
1511789,5.0,47
823219,8.095,2646
1291335,7.375,8
822119,5.983,2940
670,8.241,9598
284054,7.362,23207
283995,7.6,22665
58,7.374,16904
37165,8.151,19829
198663,7.189,17885
129875,6.0,3
1205229,6.539,77
1336189,5.851,37
1542418,0.0,0
335983,6.826,17028
68721,6.931,23165
687163,0.0,0
1246300,0.0,0
51876,7.194,11276
1217602,6.736,89
829557,5.93,1824
18785,7.329,17839
271110,7.446,23762
324786,8.191,14618
28,8.267,8896
694,8.2,18642
466272,7.423,14577
152601,7.841,15072
573435,7.338,3219
225819,3.0,2
558449,6.631,4205
260514,6.852,6285
1304313,0.0,0
604079,6.949,1172
1010755,6.0,12
103,8.1,13212
271110,7.446,23762
600701,0.0,0
324786,8.191,14618
177572,7.725,16371
823464,7.052,4515
1119878,6.257,579
68718,8.187,27605
1627796,4.0,1
9502,7.315,12409
338969,6.033,307
272,7.721,22280
539972,6.436,2226
11688,7.558,7181
27066,5.5,222
466272,7.423,14577
260514,6.852,6285
386716,6.0,17
875828,0.0,0
389,8.556,9763
474350,6.841,9467
507086,6.61,6894
696506,6.8,3289
18785,7.329,17839
351809,6.251,385
1379963,6.169,133
152601,7.841,15072
953902,0.0,0
4935,8.387,10837
646385,6.688,3727
369877,4.9,9
396535,7.749,8195
507089,7.337,4898
1217602,6.736,89
30112,6.541,61
28235,2.3,6
1475490,5.7,10
1336189,5.851,37
559,6.451,14977
1156593,7.121,1504
315162,8.204,8639
489,8.2,13549
1034716,7.029,469
1084199,7.012,2098
1215106,3.8,5
1252309,6.131,268
335983,6.826,17028
934433,7.0,3040
10191,7.855,14119
1011985,7.004,3384
111190,6.116,1019
605722,6.4,232
8681,7.4,11896
637920,8.252,4520
296096,7.92,13066
615457,7.888,8064
1011477,7.032,1112
39254,7.065,8929
1084199,7.012,2098
10195,6.768,22091
135397,6.698,21335
103,8.1,13212
1397364,7.5,276
315162,8.204,8639
588,6.619,4728
447273,4.322,1563
1590097,5.107,14
718930,7.413,7283
