Genres,Release_year,Runtime,Language,Adult,Vote_average
"['Action', 'Science Fiction', 'Thriller']",2026.0,99,en,0,7.08
"['Horror', 'Science Fiction', 'Thriller']",2026.0,109,en,0,7.211
['Action'],2025.0,95,fr,0,6.1
['Action'],2025.0,84,en,0,6.0
"['Adventure', 'Science Fiction', 'Thriller']",2026.0,98,en,0,6.526
"['Action', 'Adventure', 'Fantasy']",2025.0,103,en,0,6.29
"['Drama', 'Mystery', 'Thriller']",2025.0,131,en,0,7.243
"['Action', 'Crime', 'Drama', 'Thriller']",2025.0,142,zh,0,7.247
"['Adventure', 'Animation', 'Comedy', 'Family', 'Mystery']",2025.0,108,en,0,7.609
"['Action', 'Science Fiction', 'Thriller']",2025.0,90,en,0,5.9
"['Action', 'Comedy', 'Crime', 'Mystery']",2026.0,124,en,0,6.922
"['Action', 'Adventure', 'Science Fiction']",2025.0,107,en,0,7.721
"['Drama', 'Romance']",2026.0,136,en,0,6.5
"['Adventure', 'Fantasy', 'Science Fiction']",2025.0,198,en,0,7.278
"['Science Fiction', 'Thriller']",2025.0,91,en,0,4.197
"['Action', 'Horror', 'Thriller']",2025.0,91,en,0,6.043
"['Action', 'Thriller']",2026.0,94,en,0,7.033
"['Drama', 'Thriller']",2026.0,107,es,0,6.192
"['Action', 'Horror', 'Thriller']",2026.0,94,no,0,8.0
"['Action', 'Animation', 'Comedy', 'Family']",2026.0,100,en,0,7.424
"['Action', 'Animation', 'Fantasy']",2025.0,156,ja,0,7.7
['Drama'],2025.0,150,en,0,7.555
"['Action', 'Crime', 'Thriller']",2026.0,93,en,0,6.364
"['Drama', 'Romance']",2026.0,99,en,0,5.673
"['Crime', 'Thriller']",2026.0,141,en,0,6.941
"['Horror', 'Thriller']",2026.0,84,en,0,6.0
['Drama'],2025.0,100,es,0,7.774
"['Adventure', 'Comedy', 'Music']",1965.0,92,en,0,6.8
"['Horror', 'Thriller']",2026.0,89,en,0,6.644
"['Action', 'Drama']",2025.0,224,te,0,6.0
