Release_year,Runtime,Language,Adult,Vote_average
2026.0,99,en,0,7.08
2026.0,109,en,0,7.211
2025.0,95,fr,0,6.1
2025.0,84,en,0,6.0
2026.0,98,en,0,6.526
2025.0,103,en,0,6.29
2025.0,131,en,0,7.243
2025.0,142,zh,0,7.247
2025.0,108,en,0,7.609
2025.0,90,en,0,5.9
2026.0,124,en,0,6.922
2025.0,107,en,0,7.721
2026.0,136,en,0,6.5
2025.0,198,en,0,7.278
2025.0,91,en,0,4.197
2025.0,91,en,0,6.043
2026.0,94,en,0,7.033
2026.0,107,es,0,6.192
2026.0,94,no,0,8.0
2026.0,100,en,0,7.424
2025.0,156,ja,0,7.7
2025.0,150,en,0,7.555
2026.0,93,en,0,6.364
2026.0,99,en,0,5.673
2026.0,141,en,0,6.941
2026.0,84,en,0,6.0
2025.0,100,es,0,7.774
1965.0,92,en,0,6.8
2026.0,89,en,0,6.644
2025.0,224,te,0,6.0
2026.0,86,en,0,7.7
2026.0,103,pt,0,5.191
2025.0,84,en,0,7.2
2026.0,113,en,0,7.062
2025.0,126,en,0,7.73
2025.0,100,en,0,5.805
2026.0,104,en,0,4.5
1964.0,79,en,0,6.645
2026.0,91,en,0,6.3
2025.0,90,en,0,5.843
2026.0,94,en,0,6.581
1984.0,137,en,0,6.896
2025.0,117,zh,0,5.856
1941.0,100,en,0,7.1
2025.0,104,en,0,6.2
2025.0,89,en,0,6.7
2006.0,90,en,0,5.6
2025.0,109,en,0,8.1
2025.0,38,en,0,10.0
2001.0,87,en,0,6.855
2025.0,103,ar,0,6.375
2025.0,113,en,0,6.525
2025.0,92,es,0,5.1
2026.0,114,en,0,6.1
2025.0,106,en,0,6.6
2012.0,89,en,0,6.035
1980.0,117,en,0,5.4
2012.0,143,en,0,7.95
2025.0,101,en,0,5.613
1986.0,104,en,0,5.6
1998.0,99,en,0,6.1
2009.0,100,en,0,7.676
2026.0,108,en,0,7.2
2025.0,99,en,0,6.433
2026.0,126,zh,0,7.933
2025.0,117,de,0,7.08
2025.0,96,en,0,8.1
2014.0,169,en,0,8.5
2025.0,130,fr,0,7.1
2025.0,162,en,0,7.412
2025.0,70,cs,0,5.0
2002.0,124,en,0,5.978
1977.0,100,en,0,6.8
1994.0,142,en,0,8.715
2024.0,119,es,0,7.198
1956.0,25,en,0,0.0
2026.0,113,en,0,7.1
2003.0,100,en,0,6.133
2025.0,134,en,0,6.305
2025.0,139,ko,0,7.575
2025.0,106,fr,0,6.5
2025.0,107,en,0,6.1
2024.0,48,tl,0,6.433
2001.0,95,en,0,5.9
2025.0,107,zh,0,6.1
2025.0,138,en,0,7.489
2025.0,89,fi,0,7.35
2022.0,192,en,0,7.598
2009.0,162,en,0,7.6
2025.0,170,en,0,7.189
2025.0,107,ko,0,5.986
2024.0,106,en,0,5.75
2026.0,109,en,0,5.6
1976.0,122,en,0,7.81
